"Case Number","Severity","Opened Date","Case Owner"
"209140","Sev-1: Mission Critical","4/5/2017","Sean Yates"
"209151","Sev-1: Mission Critical","4/5/2017","Sean Yates"
"209154","Sev-1: Mission Critical","4/5/2017","Sean Yates"
"209166","Sev-1: Mission Critical","4/5/2017","Sean Yates"
"209169","Sev-1: Mission Critical","4/5/2017","Sean Yates"
"209175","Sev-2: High","4/5/2017","Sean Yates"
"209233","Sev-2: High","4/6/2017","Sean Yates"
"209237","Sev-2: High","4/6/2017","Sean Yates"
"209240","Sev-2: High","4/6/2017","Sean Yates"
"209241","Sev-1: Mission Critical","4/6/2017","Sean Yates"
"209256","Sev-1: Mission Critical","4/6/2017","Sean Yates"
"209265","Sev-2: High","4/7/2017","Sean Yates"
"209266","Sev-2: High","4/7/2017","Sean Yates"
"209275","Sev-1: Mission Critical","4/7/2017","Sean Yates"
"209279","Sev-2: High","4/7/2017","Sean Yates"
"209290","Sev-2: High","4/7/2017","Sean Yates"
"209303","Sev-1: Mission Critical","4/7/2017","Sean Yates"
"209316","Sev-2: High","4/10/2017","Sean Yates"
"209322","Sev-2: High","4/10/2017","Sean Yates"
"209328","Sev-1: Mission Critical","4/10/2017","Sean Yates"
"209342","Sev-2: High","4/10/2017","Sean Yates"
"209344","Sev-2: High","4/10/2017","Sean Yates"
"209363","Sev-2: High","4/10/2017","Sean Yates"
"209365","Sev-2: High","4/10/2017","Sean Yates"
"209368","Sev-2: High","4/10/2017","Sean Yates"
"209371","Sev-2: High","4/10/2017","Sean Yates"
"209377","Sev-2: High","4/10/2017","Sean Yates"
"209403","Sev-2: High","4/11/2017","Sean Yates"
"209426","Sev-2: High","4/11/2017","Sean Yates"
"209430","Sev-2: High","4/11/2017","Sean Yates"
"209432","Sev-2: High","4/11/2017","Sean Yates"
"209435","Sev-1: Mission Critical","4/11/2017","Sean Yates"
"209440","Sev-2: High","4/11/2017","Sean Yates"
"209450","Sev-2: High","4/12/2017","Sean Yates"
"209465","Sev-2: High","4/12/2017","Sean Yates"
"209468","Sev-2: High","4/12/2017","Sean Yates"
"209472","Sev-2: High","4/12/2017","Sean Yates"
"209485","Sev-2: High","4/12/2017","Sean Yates"
"209502","Sev-2: High","4/12/2017","Sean Yates"
"209506","Sev-2: High","4/13/2017","Sean Yates"
"209535","Sev-2: High","4/13/2017","Sean Yates"
"209543","Sev-2: High","4/13/2017","Sean Yates"
"209554","Sev-2: High","4/13/2017","Sean Yates"
"209560","Sev-2: High","4/13/2017","Sean Yates"
"209572","Sev-2: High","4/14/2017","Sean Yates"
"209575","Sev-2: High","4/14/2017","Sean Yates"
"209577","Sev-2: High","4/14/2017","Sean Yates"
"209598","Sev-2: High","4/17/2017","Sean Yates"
"209622","Sev-2: High","4/17/2017","Sean Yates"
"209631","Sev-2: High","4/17/2017","Sean Yates"
"209632","Sev-2: High","4/17/2017","Sean Yates"
"209638","Sev-2: High","4/17/2017","Sean Yates"
"209662","Sev-2: High","4/17/2017","Sean Yates"
"209676","Sev-2: High","4/18/2017","Sean Yates"
"209677","Sev-2: High","4/18/2017","Sean Yates"
"209678","Sev-2: High","4/18/2017","Sean Yates"
"209689","Sev-2: High","4/18/2017","Sean Yates"
"209696","Sev-2: High","4/18/2017","Sean Yates"
"209723","Sev-2: High","4/18/2017","Sean Yates"
"209728","Sev-2: High","4/19/2017","Sean Yates"
"209774","Sev-2: High","4/19/2017","Sean Yates"
"209775","Sev-2: High","4/19/2017","Sean Yates"
"209783","Sev-2: High","4/19/2017","Sean Yates"
"209790","Sev-1: Mission Critical","4/19/2017","Sean Yates"
"209791","Sev-1: Mission Critical","4/19/2017","Sean Yates"
"209850","Sev-2: High","4/20/2017","Sean Yates"
"209863","Sev-2: High","4/20/2017","Sean Yates"
"209905","Sev-2: High","4/21/2017","Sean Yates"
"209927","Sev-2: High","4/21/2017","Sean Yates"
"209972","Sev-2: High","4/24/2017","Sean Yates"
"210003","Sev-2: High","4/24/2017","Sean Yates"
"210021","Sev-2: High","4/25/2017","Sean Yates"
"210027","Sev-2: High","4/25/2017","Sean Yates"
"210030","Sev-1: Mission Critical","4/25/2017","Sean Yates"
"210034","Sev-2: High","4/25/2017","Sean Yates"
"210037","Sev-2: High","4/25/2017","Sean Yates"
"210038","Sev-2: High","4/25/2017","Sean Yates"
"210045","Sev-2: High","4/25/2017","Sean Yates"
"210053","Sev-2: High","4/25/2017","Sean Yates"
"210078","Sev-2: High","4/26/2017","Sean Yates"
"210097","Sev-2: High","4/26/2017","Sean Yates"
"210108","Sev-2: High","4/26/2017","Sean Yates"
"210116","Sev-2: High","4/26/2017","Sean Yates"
"210122","Sev-2: High","4/26/2017","Sean Yates"
"210152","Sev-2: High","4/27/2017","Sean Yates"
"210158","Sev-2: High","4/27/2017","Sean Yates"
"210170","Sev-2: High","4/27/2017","Sean Yates"
"210228","Sev-2: High","4/28/2017","Sean Yates"
"210238","Sev-2: High","4/28/2017","Sean Yates"
"210240","Sev-2: High","4/28/2017","Sean Yates"
"210245","Sev-2: High","4/28/2017","Sean Yates"
"210254","Sev-2: High","4/28/2017","Sean Yates"
"210320","Sev-2: High","5/1/2017","Eric Thomas"
"210365","Sev-2: High","5/2/2017","Eric Thomas"
"210434","Sev-1: Mission Critical","5/2/2017","Eric Thomas"
"210481","Sev-1: Mission Critical","5/3/2017","Eric Thomas"
"210485","Sev-2: High","5/3/2017","Eric Thomas"
"210546","Sev-1: Mission Critical","5/4/2017","Eric Thomas"
"210633","Sev-2: High","5/5/2017","Eric Thomas"
"210695","Sev-1: Mission Critical","5/8/2017","Eric Thomas"
"210698","Sev-2: High","5/8/2017","Eric Thomas"
"210748","Sev-1: Mission Critical","5/8/2017","Eric Thomas"
"210752","Sev-2: High","5/9/2017","Eric Thomas"
"210784","Sev-2: High","5/9/2017","Eric Thomas"
"210802","Sev-2: High","5/9/2017","Eric Thomas"
"210807","Sev-2: High","5/9/2017","Eric Thomas"
"210811","Sev-2: High","5/9/2017","Eric Thomas"
"210813","Sev-1: Mission Critical","5/9/2017","Eric Thomas"
"210830","Sev-2: High","5/10/2017","Eric Thomas"
"210858","Sev-2: High","5/10/2017","Eric Thomas"
"210942","Sev-2: High","5/11/2017","Eric Thomas"
"211053","Sev-2: High","5/12/2017","Eric Thomas"
"211083","Sev-2: High","5/15/2017","Eric Thomas"
"211152","Sev-2: High","5/15/2017","Eric Thomas"
"211284","Sev-1: Mission Critical","5/17/2017","Eric Thomas"
"211329","Sev-2: High","5/18/2017","Eric Thomas"
"211335","Sev-1: Mission Critical","5/18/2017","Eric Thomas"
"211721","Sev-2: High","5/25/2017","Eric Thomas"
"211756","Sev-2: High","5/25/2017","Eric Thomas"
"211952","Sev-2: High","5/30/2017","Eric Thomas"
"211957","Sev-2: High","5/30/2017","Eric Thomas"
"211963","Sev-2: High","5/30/2017","Eric Thomas"
"211975","Sev-2: High","5/31/2017","Eric Thomas"
"211990","Sev-2: High","5/31/2017","Eric Thomas"
"212026","Sev-2: High","5/31/2017","Eric Thomas"
"210290","Sev-2: High","5/1/2017","Miriam Rios"
"210334","Sev-2: High","5/1/2017","Miriam Rios"
"210346","Sev-2: High","5/1/2017","Miriam Rios"
"210355","Sev-2: High","5/2/2017","Miriam Rios"
"210374","Sev-2: High","5/2/2017","Miriam Rios"
"210400","Sev-2: High","5/2/2017","Miriam Rios"
"210401","Sev-2: High","5/2/2017","Miriam Rios"
"210408","Sev-2: High","5/2/2017","Miriam Rios"
"210410","Sev-2: High","5/2/2017","Miriam Rios"
"210432","Sev-2: High","5/2/2017","Miriam Rios"
"210469","Sev-2: High","5/3/2017","Miriam Rios"
"210470","Sev-2: High","5/3/2017","Miriam Rios"
"210471","Sev-2: High","5/3/2017","Miriam Rios"
"210474","Sev-2: High","5/3/2017","Miriam Rios"
"210478","Sev-2: High","5/3/2017","Miriam Rios"
"210500","Sev-2: High","5/3/2017","Miriam Rios"
"210507","Sev-2: High","5/3/2017","Miriam Rios"
"210521","Sev-2: High","5/3/2017","Miriam Rios"
"210526","Sev-2: High","5/3/2017","Miriam Rios"
"210529","Sev-2: High","5/3/2017","Miriam Rios"
"210531","Sev-2: High","5/4/2017","Miriam Rios"
"210536","Sev-2: High","5/4/2017","Miriam Rios"
"210552","Sev-2: High","5/4/2017","Miriam Rios"
"210553","Sev-2: High","5/4/2017","Miriam Rios"
"210577","Sev-2: High","5/4/2017","Miriam Rios"
"210585","Sev-2: High","5/4/2017","Miriam Rios"
"210588","Sev-2: High","5/4/2017","Miriam Rios"
"210596","Sev-2: High","5/5/2017","Miriam Rios"
"210598","Sev-2: High","5/5/2017","Miriam Rios"
"210599","Sev-2: High","5/5/2017","Miriam Rios"
"210608","Sev-2: High","5/5/2017","Miriam Rios"
"210638","Sev-2: High","5/5/2017","Miriam Rios"
"210641","Sev-2: High","5/5/2017","Miriam Rios"
"210660","Sev-2: High","5/7/2017","Miriam Rios"
"210661","Sev-2: High","5/7/2017","Miriam Rios"
"210662","Sev-2: High","5/7/2017","Miriam Rios"
"210663","Sev-2: High","5/7/2017","Miriam Rios"
"210664","Sev-2: High","5/7/2017","Miriam Rios"
"210666","Sev-2: High","5/7/2017","Miriam Rios"
"210674","Sev-2: High","5/8/2017","Miriam Rios"
"210676","Sev-2: High","5/8/2017","Miriam Rios"
"210686","Sev-2: High","5/8/2017","Miriam Rios"
"210689","Sev-2: High","5/8/2017","Miriam Rios"
"210690","Sev-2: High","5/8/2017","Miriam Rios"
"210701","Sev-2: High","5/8/2017","Miriam Rios"
"210706","Sev-2: High","5/8/2017","Miriam Rios"
"210721","Sev-2: High","5/8/2017","Miriam Rios"
"210726","Sev-2: High","5/8/2017","Miriam Rios"
"210755","Sev-2: High","5/9/2017","Miriam Rios"
"210769","Sev-2: High","5/9/2017","Miriam Rios"
"210770","Sev-2: High","5/9/2017","Miriam Rios"
"210800","Sev-2: High","5/9/2017","Miriam Rios"
"210814","Sev-2: High","5/9/2017","Miriam Rios"
"210816","Sev-2: High","5/9/2017","Miriam Rios"
"210825","Sev-2: High","5/9/2017","Miriam Rios"
"210826","Sev-2: High","5/9/2017","Miriam Rios"
"210829","Sev-2: High","5/9/2017","Miriam Rios"
"210832","Sev-2: High","5/10/2017","Miriam Rios"
"210850","Sev-2: High","5/10/2017","Miriam Rios"
"210857","Sev-2: High","5/10/2017","Miriam Rios"
"210870","Sev-2: High","5/10/2017","Miriam Rios"
"210875","Sev-2: High","5/10/2017","Miriam Rios"
"210879","Sev-2: High","5/10/2017","Miriam Rios"
"210884","Sev-2: High","5/10/2017","Miriam Rios"
"210887","Sev-2: High","5/10/2017","Miriam Rios"
"210888","Sev-2: High","5/10/2017","Miriam Rios"
"210897","Sev-2: High","5/10/2017","Miriam Rios"
"210901","Sev-2: High","5/10/2017","Miriam Rios"
"210917","Sev-2: High","5/11/2017","Miriam Rios"
"210937","Sev-2: High","5/11/2017","Miriam Rios"
"210947","Sev-2: High","5/11/2017","Miriam Rios"
"210958","Sev-2: High","5/11/2017","Miriam Rios"
"210994","Sev-2: High","5/12/2017","Miriam Rios"
"211051","Sev-2: High","5/12/2017","Miriam Rios"
"211065","Sev-2: High","5/12/2017","Miriam Rios"
"211073","Sev-2: High","5/12/2017","Miriam Rios"
"211074","Sev-2: High","5/12/2017","Miriam Rios"
"211080","Sev-2: High","5/14/2017","Miriam Rios"
"211081","Sev-2: High","5/15/2017","Miriam Rios"
"211086","Sev-2: High","5/15/2017","Miriam Rios"
"211087","Sev-2: High","5/15/2017","Miriam Rios"
"211107","Sev-2: High","5/15/2017","Miriam Rios"
"211110","Sev-2: High","5/15/2017","Miriam Rios"
"211119","Sev-2: High","5/15/2017","Miriam Rios"
"211120","Sev-2: High","5/15/2017","Miriam Rios"
"211128","Sev-2: High","5/15/2017","Miriam Rios"
"211135","Sev-2: High","5/15/2017","Miriam Rios"
"211137","Sev-2: High","5/15/2017","Miriam Rios"
"211139","Sev-2: High","5/15/2017","Miriam Rios"
"211141","Sev-2: High","5/15/2017","Miriam Rios"
"211169","Sev-2: High","5/16/2017","Miriam Rios"
"211173","Sev-2: High","5/16/2017","Miriam Rios"
"211174","Sev-2: High","5/16/2017","Miriam Rios"
"211178","Sev-2: High","5/16/2017","Miriam Rios"
"211184","Sev-2: High","5/16/2017","Miriam Rios"
"211187","Sev-2: High","5/16/2017","Miriam Rios"
"211193","Sev-2: High","5/16/2017","Miriam Rios"
"211207","Sev-2: High","5/16/2017","Miriam Rios"
"211211","Sev-2: High","5/16/2017","Miriam Rios"
"211217","Sev-2: High","5/16/2017","Miriam Rios"
"211218","Sev-2: High","5/16/2017","Miriam Rios"
"211243","Sev-2: High","5/16/2017","Miriam Rios"
"211244","Sev-2: High","5/16/2017","Miriam Rios"
"211256","Sev-2: High","5/17/2017","Miriam Rios"
"211257","Sev-2: High","5/17/2017","Miriam Rios"
"211260","Sev-2: High","5/17/2017","Miriam Rios"
"211261","Sev-2: High","5/17/2017","Miriam Rios"
"211271","Sev-2: High","5/17/2017","Miriam Rios"
"211276","Sev-2: High","5/17/2017","Miriam Rios"
"211282","Sev-2: High","5/17/2017","Miriam Rios"
"211300","Sev-2: High","5/17/2017","Miriam Rios"
"211303","Sev-2: High","5/17/2017","Miriam Rios"
"211313","Sev-2: High","5/18/2017","Miriam Rios"
"211315","Sev-2: High","5/18/2017","Miriam Rios"
"211323","Sev-2: High","5/18/2017","Miriam Rios"
"211326","Sev-2: High","5/18/2017","Miriam Rios"
"211327","Sev-2: High","5/18/2017","Miriam Rios"
"211343","Sev-2: High","5/18/2017","Miriam Rios"
"211346","Sev-2: High","5/18/2017","Miriam Rios"
"211350","Sev-2: High","5/18/2017","Miriam Rios"
"211351","Sev-2: High","5/18/2017","Miriam Rios"
"211353","Sev-2: High","5/18/2017","Miriam Rios"
"211354","Sev-2: High","5/18/2017","Miriam Rios"
"211370","Sev-2: High","5/19/2017","Miriam Rios"
"211376","Sev-2: High","5/19/2017","Miriam Rios"
"211377","Sev-2: High","5/19/2017","Miriam Rios"
"211384","Sev-2: High","5/19/2017","Miriam Rios"
"211387","Sev-1: Mission Critical","5/19/2017","Miriam Rios"
"211388","Sev-2: High","5/19/2017","Miriam Rios"
"211390","Sev-2: High","5/19/2017","Miriam Rios"
"211393","Sev-2: High","5/19/2017","Miriam Rios"
"211406","Sev-1: Mission Critical","5/19/2017","Miriam Rios"
"211410","Sev-2: High","5/20/2017","Miriam Rios"
"211414","Sev-2: High","5/22/2017","Miriam Rios"
"211418","Sev-2: High","5/22/2017","Miriam Rios"
"211426","Sev-2: High","5/22/2017","Miriam Rios"
"211431","Sev-2: High","5/22/2017","Miriam Rios"
"211440","Sev-2: High","5/22/2017","Miriam Rios"
"211443","Sev-2: High","5/22/2017","Miriam Rios"
"211447","Sev-2: High","5/22/2017","Miriam Rios"
"211454","Sev-2: High","5/22/2017","Miriam Rios"
"211455","Sev-2: High","5/22/2017","Miriam Rios"
"211457","Sev-2: High","5/22/2017","Miriam Rios"
"211475","Sev-2: High","5/22/2017","Miriam Rios"
"211490","Sev-2: High","5/22/2017","Miriam Rios"
"211514","Sev-2: High","5/23/2017","Miriam Rios"
"211515","Sev-2: High","5/23/2017","Miriam Rios"
"211518","Sev-1: Mission Critical","5/23/2017","Miriam Rios"
"211522","Sev-2: High","5/23/2017","Miriam Rios"
"211523","Sev-2: High","5/23/2017","Miriam Rios"
"211526","Sev-2: High","5/23/2017","Miriam Rios"
"211541","Sev-2: High","5/23/2017","Miriam Rios"
"211542","Sev-2: High","5/23/2017","Miriam Rios"
"211553","Sev-2: High","5/23/2017","Miriam Rios"
"211558","Sev-2: High","5/23/2017","Miriam Rios"
"211576","Sev-2: High","5/24/2017","Miriam Rios"
"211577","Sev-2: High","5/24/2017","Miriam Rios"
"211581","Sev-2: High","5/24/2017","Miriam Rios"
"211584","Sev-2: High","5/24/2017","Miriam Rios"
"211592","Sev-2: High","5/24/2017","Miriam Rios"
"211594","Sev-1: Mission Critical","5/24/2017","Miriam Rios"
"211595","Sev-2: High","5/24/2017","Miriam Rios"
"211602","Sev-2: High","5/24/2017","Miriam Rios"
"211605","Sev-2: High","5/24/2017","Miriam Rios"
"211606","Sev-2: High","5/24/2017","Miriam Rios"
"211607","Sev-2: High","5/24/2017","Miriam Rios"
"211613","Sev-2: High","5/24/2017","Miriam Rios"
"211616","Sev-1: Mission Critical","5/24/2017","Miriam Rios"
"211618","Sev-2: High","5/24/2017","Miriam Rios"
"211643","Sev-2: High","5/25/2017","Miriam Rios"
"211645","Sev-1: Mission Critical","5/25/2017","Miriam Rios"
"211657","Sev-2: High","5/25/2017","Miriam Rios"
"211658","Sev-2: High","5/25/2017","Miriam Rios"
"211659","Sev-1: Mission Critical","5/25/2017","Miriam Rios"
"211661","Sev-2: High","5/25/2017","Miriam Rios"
"211682","Sev-2: High","5/25/2017","Miriam Rios"
"211713","Sev-2: High","5/25/2017","Miriam Rios"
"211714","Sev-2: High","5/25/2017","Miriam Rios"
"211718","Sev-2: High","5/25/2017","Miriam Rios"
"211746","Sev-2: High","5/25/2017","Miriam Rios"
"211755","Sev-2: High","5/25/2017","Miriam Rios"
"211765","Sev-2: High","5/25/2017","Miriam Rios"
"211769","Sev-2: High","5/26/2017","Miriam Rios"
"211775","Sev-2: High","5/26/2017","Miriam Rios"
"211799","Sev-2: High","5/26/2017","Miriam Rios"
"211907","Sev-2: High","5/29/2017","Miriam Rios"
"211936","Sev-1: Mission Critical","5/30/2017","Miriam Rios"
"211944","Sev-2: High","5/30/2017","Miriam Rios"
"211948","Sev-2: High","5/30/2017","Miriam Rios"
"211949","Sev-2: High","5/30/2017","Miriam Rios"
"211951","Sev-2: High","5/30/2017","Miriam Rios"
"211961","Sev-2: High","5/30/2017","Miriam Rios"
"211996","Sev-2: High","5/31/2017","Miriam Rios"
"212011","Sev-2: High","5/31/2017","Miriam Rios"
"212013","Sev-2: High","5/31/2017","Miriam Rios"
"212017","Sev-2: High","5/31/2017","Miriam Rios"
"212028","Sev-2: High","5/31/2017","Miriam Rios"
"210273","Sev-2: High","5/1/2017","Sean Yates"
"210308","Sev-2: High","5/1/2017","Sean Yates"
"210317","Sev-2: High","5/1/2017","Sean Yates"
"210359","Sev-2: High","5/2/2017","Sean Yates"
"210361","Sev-2: High","5/2/2017","Sean Yates"
"210362","Sev-2: High","5/2/2017","Sean Yates"
"210379","Sev-2: High","5/2/2017","Sean Yates"
"210419","Sev-2: High","5/2/2017","Sean Yates"
"210442","Sev-2: High","5/3/2017","Sean Yates"
"210466","Sev-2: High","5/3/2017","Sean Yates"
"210505","Sev-2: High","5/3/2017","Sean Yates"
"210517","Sev-2: High","5/3/2017","Sean Yates"
"210538","Sev-2: High","5/4/2017","Sean Yates"
"210605","Sev-2: High","5/5/2017","Sean Yates"
"210612","Sev-2: High","5/5/2017","Sean Yates"
"210614","Sev-2: High","5/5/2017","Sean Yates"
"210622","Sev-1: Mission Critical","5/5/2017","Sean Yates"
"210700","Sev-2: High","5/8/2017","Sean Yates"
"210841","Sev-2: High","5/10/2017","Sean Yates"
"210869","Sev-2: High","5/10/2017","Sean Yates"
"210987","Sev-2: High","5/12/2017","Sean Yates"
"210988","Sev-2: High","5/12/2017","Sean Yates"
"210996","Sev-2: High","5/12/2017","Sean Yates"
"211009","Sev-1: Mission Critical","5/12/2017","Sean Yates"
"211011","Sev-1: Mission Critical","5/12/2017","Sean Yates"
"211013","Sev-1: Mission Critical","5/12/2017","Sean Yates"
"211018","Sev-1: Mission Critical","5/12/2017","Sean Yates"
"211020","Sev-2: High","5/12/2017","Sean Yates"
"211023","Sev-2: High","5/12/2017","Sean Yates"
"211024","Sev-1: Mission Critical","5/12/2017","Sean Yates"
"211061","Sev-2: High","5/12/2017","Sean Yates"
"211067","Sev-2: High","5/12/2017","Sean Yates"
"211069","Sev-2: High","5/12/2017","Sean Yates"
"211072","Sev-2: High","5/12/2017","Sean Yates"
"211082","Sev-2: High","5/15/2017","Sean Yates"
"211106","Sev-1: Mission Critical","5/15/2017","Sean Yates"
"211114","Sev-2: High","5/15/2017","Sean Yates"
"211127","Sev-2: High","5/15/2017","Sean Yates"
"211131","Sev-2: High","5/15/2017","Sean Yates"
"211133","Sev-2: High","5/15/2017","Sean Yates"
"211194","Sev-2: High","5/16/2017","Sean Yates"
"211400","Sev-2: High","5/19/2017","Sean Yates"
"211497","Sev-2: High","5/22/2017","Sean Yates"
"211555","Sev-2: High","5/23/2017","Sean Yates"
"211561","Sev-2: High","5/23/2017","Sean Yates"
"211585","Sev-2: High","5/24/2017","Sean Yates"
"211631","Sev-2: High","5/24/2017","Sean Yates"
"211804","Sev-2: High","5/26/2017","Sean Yates"
"211900","Sev-2: High","5/28/2017","Sean Yates"
"211955","Sev-2: High","5/30/2017","Sean Yates"
"211981","Sev-2: High","5/31/2017","Sean Yates"
"211989","Sev-2: High","5/31/2017","Sean Yates"
"212042","Sev-1: Mission Critical","6/1/2017","Eric Thomas"
"212090","Sev-2: High","6/1/2017","Eric Thomas"
"212172","Sev-2: High","6/2/2017","Eric Thomas"
"212173","Sev-2: High","6/3/2017","Eric Thomas"
"212187","Sev-2: High","6/5/2017","Eric Thomas"
"212209","Sev-2: High","6/5/2017","Eric Thomas"
"212220","Sev-1: Mission Critical","6/5/2017","Eric Thomas"
"212264","Sev-2: High","6/6/2017","Eric Thomas"
"212276","Sev-2: High","6/6/2017","Eric Thomas"
"212347","Sev-2: High","6/7/2017","Eric Thomas"
"212449","Sev-2: High","6/8/2017","Eric Thomas"
"212470","Sev-2: High","6/8/2017","Eric Thomas"
"212545","Sev-1: Mission Critical","6/9/2017","Eric Thomas"
"212556","Sev-1: Mission Critical","6/10/2017","Eric Thomas"
"212681","Sev-2: High","6/13/2017","Eric Thomas"
"212772","Sev-2: High","6/14/2017","Eric Thomas"
"212778","Sev-2: High","6/14/2017","Eric Thomas"
"212779","Sev-2: High","6/14/2017","Eric Thomas"
"212850","Sev-2: High","6/15/2017","Eric Thomas"
"212902","Sev-2: High","6/16/2017","Eric Thomas"
"212906","Sev-2: High","6/16/2017","Eric Thomas"
"212953","Sev-2: High","6/16/2017","Eric Thomas"
"212960","Sev-2: High","6/16/2017","Eric Thomas"
"212983","Sev-2: High","6/18/2017","Eric Thomas"
"212998","Sev-2: High","6/19/2017","Eric Thomas"
"213011","Sev-1: Mission Critical","6/19/2017","Eric Thomas"
"213014","Sev-2: High","6/19/2017","Eric Thomas"
"213015","Sev-1: Mission Critical","6/19/2017","Eric Thomas"
"213017","Sev-1: Mission Critical","6/19/2017","Eric Thomas"
"213019","Sev-2: High","6/19/2017","Eric Thomas"
"213064","Sev-2: High","6/19/2017","Eric Thomas"
"213156","Sev-2: High","6/20/2017","Eric Thomas"
"213213","Sev-2: High","6/21/2017","Eric Thomas"
"213536","Sev-1: Mission Critical","6/27/2017","Eric Thomas"
"213566","Sev-1: Mission Critical","6/27/2017","Eric Thomas"
"213623","Sev-2: High","6/28/2017","Eric Thomas"
"213647","Sev-2: High","6/28/2017","Eric Thomas"
"213701","Sev-2: High","6/29/2017","Eric Thomas"
"213706","Sev-2: High","6/29/2017","Eric Thomas"
"213784","Sev-2: High","6/30/2017","Eric Thomas"
"213793","Sev-2: High","6/30/2017","Eric Thomas"
"212053","Sev-2: High","6/1/2017","Miriam Rios"
"212062","Sev-2: High","6/1/2017","Miriam Rios"
"212063","Sev-2: High","6/1/2017","Miriam Rios"
"212064","Sev-2: High","6/1/2017","Miriam Rios"
"212065","Sev-2: High","6/1/2017","Miriam Rios"
"212066","Sev-2: High","6/1/2017","Miriam Rios"
"212079","Sev-2: High","6/1/2017","Miriam Rios"
"212089","Sev-2: High","6/1/2017","Miriam Rios"
"212115","Sev-2: High","6/1/2017","Miriam Rios"
"212120","Sev-2: High","6/2/2017","Miriam Rios"
"212136","Sev-2: High","6/2/2017","Miriam Rios"
"212144","Sev-2: High","6/2/2017","Miriam Rios"
"212147","Sev-2: High","6/2/2017","Miriam Rios"
"212180","Sev-2: High","6/4/2017","Miriam Rios"
"212195","Sev-2: High","6/5/2017","Miriam Rios"
"212205","Sev-2: High","6/5/2017","Miriam Rios"
"212206","Sev-1: Mission Critical","6/5/2017","Miriam Rios"
"212207","Sev-2: High","6/5/2017","Miriam Rios"
"212208","Sev-2: High","6/5/2017","Miriam Rios"
"212216","Sev-1: Mission Critical","6/5/2017","Miriam Rios"
"212217","Sev-2: High","6/5/2017","Miriam Rios"
"212224","Sev-2: High","6/5/2017","Miriam Rios"
"212233","Sev-2: High","6/5/2017","Miriam Rios"
"212235","Sev-2: High","6/5/2017","Miriam Rios"
"212236","Sev-2: High","6/5/2017","Miriam Rios"
"212244","Sev-2: High","6/6/2017","Miriam Rios"
"212246","Sev-2: High","6/6/2017","Miriam Rios"
"212260","Sev-2: High","6/6/2017","Miriam Rios"
"212272","Sev-2: High","6/6/2017","Miriam Rios"
"212273","Sev-2: High","6/6/2017","Miriam Rios"
"212277","Sev-2: High","6/6/2017","Miriam Rios"
"212287","Sev-2: High","6/6/2017","Miriam Rios"
"212288","Sev-2: High","6/6/2017","Miriam Rios"
"212289","Sev-2: High","6/6/2017","Miriam Rios"
"212301","Sev-2: High","6/6/2017","Miriam Rios"
"212323","Sev-2: High","6/7/2017","Miriam Rios"
"212326","Sev-2: High","6/7/2017","Miriam Rios"
"212330","Sev-2: High","6/7/2017","Miriam Rios"
"212338","Sev-2: High","6/7/2017","Miriam Rios"
"212339","Sev-2: High","6/7/2017","Miriam Rios"
"212343","Sev-2: High","6/7/2017","Miriam Rios"
"212344","Sev-2: High","6/7/2017","Miriam Rios"
"212355","Sev-2: High","6/7/2017","Miriam Rios"
"212363","Sev-2: High","6/7/2017","Miriam Rios"
"212369","Sev-2: High","6/7/2017","Miriam Rios"
"212377","Sev-2: High","6/7/2017","Miriam Rios"
"212380","Sev-2: High","6/7/2017","Miriam Rios"
"212400","Sev-2: High","6/7/2017","Miriam Rios"
"212411","Sev-2: High","6/8/2017","Miriam Rios"
"212469","Sev-2: High","6/8/2017","Miriam Rios"
"212475","Sev-2: High","6/8/2017","Miriam Rios"
"212487","Sev-2: High","6/8/2017","Miriam Rios"
"212491","Sev-2: High","6/8/2017","Miriam Rios"
"212496","Sev-2: High","6/9/2017","Miriam Rios"
"212530","Sev-2: High","6/9/2017","Miriam Rios"
"212558","Sev-2: High","6/11/2017","Miriam Rios"
"212600","Sev-2: High","6/12/2017","Miriam Rios"
"212645","Sev-2: High","6/13/2017","Miriam Rios"
"212695","Sev-2: High","6/13/2017","Miriam Rios"
"212709","Sev-2: High","6/13/2017","Miriam Rios"
"212713","Sev-2: High","6/13/2017","Miriam Rios"
"212724","Sev-2: High","6/13/2017","Miriam Rios"
"212741","Sev-2: High","6/14/2017","Miriam Rios"
"212742","Sev-2: High","6/14/2017","Miriam Rios"
"212764","Sev-2: High","6/14/2017","Miriam Rios"
"212776","Sev-2: High","6/14/2017","Miriam Rios"
"212822","Sev-2: High","6/14/2017","Miriam Rios"
"212827","Sev-2: High","6/15/2017","Miriam Rios"
"212836","Sev-2: High","6/15/2017","Miriam Rios"
"212843","Sev-2: High","6/15/2017","Miriam Rios"
"212845","Sev-2: High","6/15/2017","Miriam Rios"
"212848","Sev-2: High","6/15/2017","Miriam Rios"
"212868","Sev-2: High","6/15/2017","Miriam Rios"
"212880","Sev-2: High","6/15/2017","Miriam Rios"
"212888","Sev-2: High","6/15/2017","Miriam Rios"
"212891","Sev-2: High","6/15/2017","Miriam Rios"
"212899","Sev-2: High","6/15/2017","Miriam Rios"
"212904","Sev-2: High","6/16/2017","Miriam Rios"
"212905","Sev-2: High","6/16/2017","Miriam Rios"
"212939","Sev-2: High","6/16/2017","Miriam Rios"
