"Case Number","Severity","Opened Date","Case Owner"
"204819","Sev-2: High","1/26/2017","Sean Yates"
"204930","Sev-2: High","1/27/2017","Sean Yates"
"204961","Sev-2: High","1/28/2017","Sean Yates"
"204962","Sev-2: High","1/28/2017","Sean Yates"
"204964","Sev-2: High","1/28/2017","Sean Yates"
"204965","Sev-2: High","1/29/2017","Sean Yates"
"205020","Sev-2: High","1/30/2017","Sean Yates"
"205047","Sev-2: High","1/30/2017","Sean Yates"
"205061","Sev-2: High","1/31/2017","Sean Yates"
"205073","Sev-2: High","1/31/2017","Sean Yates"
"205079","Sev-2: High","1/31/2017","Sean Yates"
"205090","Sev-2: High","1/31/2017","Sean Yates"
"205130","Sev-2: High","1/31/2017","Sean Yates"
"205163","Sev-2: High","1/31/2017","Sean Yates"
"205169","Sev-2: High","1/31/2017","Sean Yates"
"205211","Sev-2: High","2/1/2017","Eric Thomas"
"205286","Sev-2: High","2/2/2017","Eric Thomas"
"205338","Sev-2: High","2/2/2017","Eric Thomas"
"205366","Sev-2: High","2/3/2017","Eric Thomas"
"205479","Sev-2: High","2/6/2017","Eric Thomas"
"205483","Sev-2: High","2/6/2017","Eric Thomas"
"205617","Sev-2: High","2/7/2017","Eric Thomas"
"205636","Sev-2: High","2/8/2017","Eric Thomas"
"205670","Sev-2: High","2/8/2017","Eric Thomas"
"206009","Sev-2: High","2/13/2017","Eric Thomas"
"206043","Sev-2: High","2/14/2017","Eric Thomas"
"206044","Sev-2: High","2/14/2017","Eric Thomas"
"206074","Sev-2: High","2/14/2017","Eric Thomas"
"206130","Sev-2: High","2/15/2017","Eric Thomas"
"206157","Sev-2: High","2/15/2017","Eric Thomas"
"206211","Sev-2: High","2/16/2017","Eric Thomas"
"206237","Sev-2: High","2/16/2017","Eric Thomas"
"206300","Sev-2: High","2/17/2017","Eric Thomas"
"206302","Sev-2: High","2/17/2017","Eric Thomas"
"206362","Sev-2: High","2/19/2017","Eric Thomas"
"206370","Sev-2: High","2/20/2017","Eric Thomas"
"206375","Sev-2: High","2/20/2017","Eric Thomas"
"206381","Sev-2: High","2/20/2017","Eric Thomas"
"206418","Sev-2: High","2/20/2017","Eric Thomas"
"206446","Sev-2: High","2/21/2017","Eric Thomas"
"206483","Sev-2: High","2/21/2017","Eric Thomas"
"206555","Sev-2: High","2/22/2017","Eric Thomas"
"206568","Sev-2: High","2/23/2017","Eric Thomas"
"206577","Sev-2: High","2/23/2017","Eric Thomas"
"206759","Sev-2: High","2/27/2017","Eric Thomas"
"206809","Sev-2: High","2/27/2017","Eric Thomas"
"206833","Sev-2: High","2/28/2017","Eric Thomas"
"206915","Sev-2: High","2/28/2017","Eric Thomas"
"205193","Sev-2: High","2/1/2017","Miriam Rios"
"206674","Sev-2: High","2/24/2017","Miriam Rios"
"205172","Sev-2: High","2/1/2017","Sean Yates"
"205223","Sev-2: High","2/1/2017","Sean Yates"
"205292","Sev-2: High","2/2/2017","Sean Yates"
"205350","Sev-2: High","2/2/2017","Sean Yates"
"205368","Sev-2: High","2/3/2017","Sean Yates"
"205417","Sev-2: High","2/3/2017","Sean Yates"
"205571","Sev-2: High","2/7/2017","Sean Yates"
"205634","Sev-2: High","2/8/2017","Sean Yates"
"205639","Sev-2: High","2/8/2017","Sean Yates"
"205646","Sev-2: High","2/8/2017","Sean Yates"
"205666","Sev-2: High","2/8/2017","Sean Yates"
"205667","Sev-2: High","2/8/2017","Sean Yates"
"205669","Sev-2: High","2/8/2017","Sean Yates"
"205746","Sev-2: High","2/8/2017","Sean Yates"
"205821","Sev-2: High","2/9/2017","Sean Yates"
"205844","Sev-2: High","2/9/2017","Sean Yates"
"205854","Sev-2: High","2/9/2017","Sean Yates"
"205886","Sev-2: High","2/10/2017","Sean Yates"
"205992","Sev-2: High","2/13/2017","Sean Yates"
"206004","Sev-2: High","2/13/2017","Sean Yates"
"206025","Sev-2: High","2/13/2017","Sean Yates"
"206027","Sev-2: High","2/13/2017","Sean Yates"
"206089","Sev-2: High","2/14/2017","Sean Yates"
"206091","Sev-2: High","2/14/2017","Sean Yates"
"206095","Sev-2: High","2/14/2017","Sean Yates"
"206137","Sev-2: High","2/15/2017","Sean Yates"
"206156","Sev-2: High","2/15/2017","Sean Yates"
"206222","Sev-2: High","2/16/2017","Sean Yates"
"206314","Sev-2: High","2/17/2017","Sean Yates"
"206315","Sev-2: High","2/17/2017","Sean Yates"
"206323","Sev-1: Mission Critical","2/17/2017","Sean Yates"
"206449","Sev-2: High","2/21/2017","Sean Yates"
"206458","Sev-2: High","2/21/2017","Sean Yates"
"206505","Sev-2: High","2/22/2017","Sean Yates"
"206530","Sev-2: High","2/22/2017","Sean Yates"
"206559","Sev-2: High","2/22/2017","Sean Yates"
"206607","Sev-2: High","2/23/2017","Sean Yates"
"206610","Sev-1: Mission Critical","2/23/2017","Sean Yates"
"206617","Sev-2: High","2/23/2017","Sean Yates"
"206624","Sev-2: High","2/24/2017","Sean Yates"
"206648","Sev-2: High","2/24/2017","Sean Yates"
"206652","Sev-1: Mission Critical","2/24/2017","Sean Yates"
"206654","Sev-2: High","2/24/2017","Sean Yates"
"206657","Sev-1: Mission Critical","2/24/2017","Sean Yates"
"206679","Sev-2: High","2/24/2017","Sean Yates"
"206772","Sev-2: High","2/27/2017","Sean Yates"
"206804","Sev-2: High","2/27/2017","Sean Yates"
"206853","Sev-2: High","2/28/2017","Sean Yates"
"206857","Sev-2: High","2/28/2017","Sean Yates"
"206886","Sev-2: High","2/28/2017","Sean Yates"
"206887","Sev-2: High","2/28/2017","Sean Yates"
"206914","Sev-2: High","2/28/2017","Sean Yates"
"207043","Sev-2: High","3/2/2017","Eric Thomas"
"207080","Sev-2: High","3/2/2017","Eric Thomas"
"207142","Sev-2: High","3/3/2017","Eric Thomas"
"207148","Sev-2: High","3/3/2017","Eric Thomas"
"207208","Sev-2: High","3/6/2017","Eric Thomas"
"207281","Sev-2: High","3/6/2017","Eric Thomas"
"207282","Sev-2: High","3/6/2017","Eric Thomas"
"207311","Sev-2: High","3/7/2017","Eric Thomas"
"207410","Sev-1: Mission Critical","3/8/2017","Eric Thomas"
"207426","Sev-2: High","3/8/2017","Eric Thomas"
"207427","Sev-2: High","3/8/2017","Eric Thomas"
"207472","Sev-2: High","3/9/2017","Eric Thomas"
"207506","Sev-2: High","3/9/2017","Eric Thomas"
"207519","Sev-1: Mission Critical","3/9/2017","Eric Thomas"
"207569","Sev-2: High","3/11/2017","Eric Thomas"
"207629","Sev-2: High","3/13/2017","Eric Thomas"
"207770","Sev-2: High","3/15/2017","Eric Thomas"
"207817","Sev-2: High","3/15/2017","Eric Thomas"
"207874","Sev-2: High","3/16/2017","Eric Thomas"
"208086","Sev-2: High","3/20/2017","Eric Thomas"
"208095","Sev-2: High","3/20/2017","Eric Thomas"
"208109","Sev-2: High","3/20/2017","Eric Thomas"
